name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Spain,2015-01-01,12.1,-4.8,2.3,12.1,-6.6,2,-4.7,65.28,0,,0,,,11,,6.9,203.5,1037.5,0.1,11.7,,,,,2015-01-01T08:37:58,2015-01-01T17:58:35,0.43,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-02,14.8,-4.6,3.3,14.8,-8,2.4,-3.4,66.24,0,,0,,,10,,8.7,189,1040.7,11.7,13.6,,,,,2015-01-02T08:38:05,2015-01-02T17:59:26,0.46,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-03,13.7,-2.9,3.9,13.7,-4.8,3.4,-2.5,67.38,0,,0,,,10,,9,197.8,1040.7,1.4,14.7,,,,,2015-01-03T08:38:09,2015-01-03T18:00:18,0.49,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-04,18,-2,5.6,18,-4.4,5,-1.9,64.72,0,,0,,,9,,9.2,246.6,1036.4,0,14.1,,,,,2015-01-04T08:38:11,2015-01-04T18:01:11,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-05,14.4,-1.5,4.9,14.4,-3.6,4.2,-0.7,71.18,0,,0,,,8,,7.9,205.5,1031.3,0,13.7,,,,,2015-01-05T08:38:11,2015-01-05T18:02:06,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-06,11.6,-2.6,2.8,11.6,-4.7,2.2,-0.6,80.53,0,,0,,,8,,9.2,190.2,1029.5,7.9,9.1,,,,,2015-01-06T08:38:09,2015-01-06T18:03:02,0.51,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-07,13,-3.3,3,13,-6.2,1.8,-1.8,74.42,0,,0,,,7,,10,245.2,1032.9,2.5,10.8,,,,,2015-01-07T08:38:04,2015-01-07T18:04:00,0.53,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-08,15,-3,4.2,15,-5.4,3.6,-1.8,68.75,0,,0,,,7,,7.9,214.2,1039.7,10.7,12.6,,,,,2015-01-08T08:37:57,2015-01-08T18:04:58,0.55,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-09,15.5,-1.7,5.3,15.5,-4.8,4.5,-0.5,69.57,0,,0,,,7,,13.6,237.2,1044.7,0.3,14.2,,,,,2015-01-09T08:37:48,2015-01-09T18:05:59,0.59,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Spain,2015-01-10,14.6,-2.1,4.5,14.6,-4.3,3.7,-0.9,72.54,0,,0,,,6,,8.2,219.5,1039.1,0.1,14.6,,,,,2015-01-10T08:37:37,2015-01-10T18:07:00,0.62,Clear,Clear conditions throughout the day.,clear-day,"08221099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
